relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load,cooling_load,heating_cost,predicted_heating,cost,savings,savings_pct,error
0.74,686.0,245.0,220.5,3.5,5,0.1,4,10.14,13.53,1.2168,10.14,1.22,1.46,54.54,0.0
0.71,710.5,269.5,220.5,3.5,2,0.1,4,10.66,13.67,1.2792,10.66,1.28,1.4,52.21,0.0
0.71,710.5,269.5,220.5,3.5,3,0.1,4,10.68,14.12,1.2815999999999999,10.68,1.28,1.4,52.12,0.0
0.71,710.5,269.5,220.5,3.5,4,0.1,4,10.53,13.79,1.2635999999999998,10.53,1.26,1.41,52.8,0.0
0.71,710.5,269.5,220.5,3.5,5,0.1,4,10.72,14.2,1.2864,10.72,1.29,1.39,51.94,0.0
0.69,735.0,294.0,220.5,3.5,2,0.1,4,11.18,14.29,1.3416,11.18,1.34,1.34,49.88,0.0
0.69,735.0,294.0,220.5,3.5,3,0.1,4,11.22,14.49,1.3464,11.22,1.35,1.33,49.7,0.0
0.69,735.0,294.0,220.5,3.5,4,0.1,4,11.07,14.42,1.3284,11.07,1.33,1.35,50.37,0.0
0.69,735.0,294.0,220.5,3.5,5,0.1,4,11.2,14.73,1.3439999999999999,11.2,1.34,1.33,49.79,0.0
0.66,759.5,318.5,220.5,3.5,2,0.1,4,11.44,14.86,1.3727999999999998,11.44,1.37,1.3,48.72,0.0
0.66,759.5,318.5,220.5,3.5,3,0.1,4,11.42,14.67,1.3703999999999998,11.42,1.37,1.31,48.81,0.0
0.66,759.5,318.5,220.5,3.5,4,0.1,4,11.33,15.0,1.3596,11.33,1.36,1.32,49.21,0.0
0.66,759.5,318.5,220.5,3.5,5,0.1,4,11.43,14.83,1.3716,11.43,1.37,1.31,48.76,0.0
0.64,784.0,343.0,220.5,3.5,2,0.1,4,15.4,19.24,1.8479999999999999,15.4,1.85,0.83,30.96,0.0
0.64,784.0,343.0,220.5,3.5,3,0.1,4,15.19,19.25,1.8228,15.19,1.82,0.85,31.91,0.0
0.64,784.0,343.0,220.5,3.5,4,0.1,4,15.32,19.42,1.8384,15.32,1.84,0.84,31.32,0.0
0.64,784.0,343.0,220.5,3.5,5,0.1,4,15.16,19.48,1.8192,15.16,1.82,0.86,32.04,0.0
0.62,808.5,367.5,220.5,3.5,2,0.1,4,12.85,14.37,1.5419999999999998,12.85,1.54,1.13,42.4,0.0
0.62,808.5,367.5,220.5,3.5,3,0.1,4,13.04,14.34,1.5647999999999997,13.04,1.56,1.11,41.54,0.0
0.62,808.5,367.5,220.5,3.5,4,0.1,4,13.0,14.28,1.56,13.0,1.56,1.12,41.72,0.0
0.62,808.5,367.5,220.5,3.5,5,0.1,4,13.0,14.47,1.56,13.0,1.56,1.12,41.72,0.0
0.98,514.5,294.0,110.25,7.0,2,0.1,5,24.35,25.64,2.922,24.35,2.92,-0.25,-9.16,0.0
0.98,514.5,294.0,110.25,7.0,3,0.1,5,24.33,25.98,2.9195999999999995,24.33,2.92,-0.24,-9.07,0.0
0.98,514.5,294.0,110.25,7.0,4,0.1,5,24.03,25.88,2.8836,24.03,2.88,-0.21,-7.72,0.0
0.98,514.5,294.0,110.25,7.0,5,0.1,5,24.26,26.18,2.9112,24.26,2.91,-0.23,-8.75,0.0
0.9,563.5,318.5,122.5,7.0,2,0.1,5,29.83,29.82,3.5795999999999997,29.83,3.58,-0.9,-33.72,0.0
0.9,563.5,318.5,122.5,7.0,3,0.1,5,29.08,29.52,3.4896,29.08,3.49,-0.81,-30.36,0.0
0.9,563.5,318.5,122.5,7.0,4,0.1,5,28.03,34.45,3.3636,28.03,3.36,-0.69,-25.65,0.0
0.9,563.5,318.5,122.5,7.0,5,0.1,5,29.02,33.01,3.4823999999999997,29.02,3.48,-0.81,-30.09,0.0
0.86,588.0,294.0,147.0,7.0,2,0.1,5,27.03,25.82,3.2436,27.03,3.24,-0.57,-21.17,0.0
0.86,588.0,294.0,147.0,7.0,3,0.1,5,26.45,27.33,3.174,26.45,3.17,-0.5,-18.57,0.0
0.86,588.0,294.0,147.0,7.0,4,0.1,5,25.36,32.04,3.0431999999999997,25.36,3.04,-0.37,-13.69,0.0
0.86,588.0,294.0,147.0,7.0,5,0.1,5,26.45,31.28,3.174,26.45,3.17,-0.5,-18.57,0.0
0.82,612.5,318.5,147.0,7.0,2,0.1,5,24.37,25.11,2.9244,24.37,2.92,-0.25,-9.25,0.0
0.82,612.5,318.5,147.0,7.0,3,0.1,5,23.89,24.77,2.8668,23.89,2.87,-0.19,-7.1,0.0
0.82,612.5,318.5,147.0,7.0,4,0.1,5,22.89,28.88,2.7468,22.89,2.75,-0.07,-2.61,0.0
0.82,612.5,318.5,147.0,7.0,5,0.1,5,23.86,27.69,2.8632,23.86,2.86,-0.19,-6.96,0.0
0.79,637.0,343.0,147.0,7.0,2,0.1,5,37.03,34.99,4.4436,37.03,4.44,-1.77,-66.0,0.0
0.79,637.0,343.0,147.0,7.0,3,0.1,5,36.71,34.18,4.4052,36.71,4.41,-1.73,-64.57,0.0
0.79,637.0,343.0,147.0,7.0,4,0.1,5,36.77,43.14,4.4124,36.77,4.41,-1.74,-64.83,0.0
0.79,637.0,343.0,147.0,7.0,5,0.1,5,35.48,41.26,4.257599999999999,35.48,4.26,-1.58,-59.05,0.0
0.76,661.5,416.5,122.5,7.0,2,0.1,5,32.31,34.25,3.8772,32.31,3.88,-1.2,-44.84,0.0
0.76,661.5,416.5,122.5,7.0,3,0.1,5,33.21,34.35,3.9852,33.21,3.99,-1.31,-48.88,0.0
0.76,661.5,416.5,122.5,7.0,4,0.1,5,32.46,33.64,3.8952,32.46,3.9,-1.22,-45.51,0.0
0.76,661.5,416.5,122.5,7.0,5,0.1,5,33.27,33.88,3.9924000000000004,33.27,3.99,-1.32,-49.14,0.0
0.74,686.0,245.0,220.5,3.5,2,0.1,5,10.47,13.65,1.2564,10.47,1.26,1.42,53.06,0.0
0.74,686.0,245.0,220.5,3.5,3,0.1,5,10.37,13.44,1.2444,10.37,1.24,1.43,53.51,0.0
0.74,686.0,245.0,220.5,3.5,4,0.1,5,10.34,13.72,1.2408,10.34,1.24,1.44,53.65,0.0
0.74,686.0,245.0,220.5,3.5,5,0.1,5,10.39,13.5,1.2468000000000001,10.39,1.25,1.43,53.42,0.0
0.71,710.5,269.5,220.5,3.5,2,0.1,5,10.78,14.18,1.2935999999999999,10.78,1.29,1.38,51.67,0.0
0.71,710.5,269.5,220.5,3.5,3,0.1,5,10.7,13.75,1.2839999999999998,10.7,1.28,1.39,52.03,0.0
0.71,710.5,269.5,220.5,3.5,4,0.1,5,10.67,14.26,1.2804,10.67,1.28,1.4,52.17,0.0
0.71,710.5,269.5,220.5,3.5,5,0.1,5,13.69,13.89,1.6427999999999998,13.69,1.64,1.03,38.63,0.0
0.69,735.0,294.0,220.5,3.5,2,0.1,5,11.21,14.55,1.3452,11.21,1.35,1.33,49.75,0.0
0.69,735.0,294.0,220.5,3.5,3,0.1,5,11.14,14.28,1.3368,11.14,1.34,1.34,50.06,0.0
0.69,735.0,294.0,220.5,3.5,4,0.1,5,11.11,14.46,1.3332,11.11,1.33,1.34,50.2,0.0
0.69,735.0,294.0,220.5,3.5,5,0.1,5,11.16,14.39,1.3392,11.16,1.34,1.34,49.97,0.0
0.66,759.5,318.5,220.5,3.5,2,0.1,5,11.38,14.54,1.3656000000000001,11.38,1.37,1.31,48.99,0.0
0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.34,14.81,1.3608,11.34,1.36,1.32,49.16,0.0
0.66,759.5,318.5,220.5,3.5,4,0.1,5,11.22,14.65,1.3464,11.22,1.35,1.33,49.7,0.0
0.66,759.5,318.5,220.5,3.5,5,0.1,5,11.34,14.87,1.3608,11.34,1.36,1.32,49.16,0.0
0.64,784.0,343.0,220.5,3.5,2,0.1,5,15.16,19.24,1.8192,15.16,1.82,0.86,32.04,0.0
0.64,784.0,343.0,220.5,3.5,3,0.1,5,15.37,19.18,1.8443999999999998,15.37,1.84,0.83,31.1,0.0
0.64,784.0,343.0,220.5,3.5,4,0.1,5,15.12,19.26,1.8143999999999998,15.12,1.81,0.86,32.22,0.0
0.64,784.0,343.0,220.5,3.5,5,0.1,5,15.36,19.29,1.8432,15.36,1.84,0.83,31.14,0.0
0.62,808.5,367.5,220.5,3.5,2,0.1,5,12.59,14.24,1.5108,12.59,1.51,1.17,43.56,0.0
0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74,13.97,1.5288,12.74,1.53,1.15,42.89,0.0
0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8,13.99,1.536,12.8,1.54,1.14,42.62,0.0
0.62,808.5,367.5,220.5,3.5,5,0.1,5,12.62,14.15,1.5143999999999997,12.62,1.51,1.16,43.43,0.0
0.98,514.5,294.0,110.25,7.0,2,0.25,1,28.15,29.79,3.3779999999999997,28.15,3.38,-0.7,-26.19,0.0
0.98,514.5,294.0,110.25,7.0,3,0.25,1,28.15,29.79,3.3779999999999997,28.15,3.38,-0.7,-26.19,0.0
0.98,514.5,294.0,110.25,7.0,4,0.25,1,28.37,29.28,3.4044,28.37,3.4,-0.73,-27.18,0.0
0.98,514.5,294.0,110.25,7.0,5,0.25,1,28.41,29.49,3.4092,28.41,3.41,-0.73,-27.36,0.0
0.9,563.5,318.5,122.5,7.0,2,0.25,1,32.68,36.12,3.9215999999999998,32.68,3.92,-1.24,-46.5,0.0
0.9,563.5,318.5,122.5,7.0,3,0.25,1,33.48,33.17,4.0176,33.48,4.02,-1.34,-50.09,0.0
0.9,563.5,318.5,122.5,7.0,4,0.25,1,32.84,32.71,3.9408000000000003,32.84,3.94,-1.26,-47.22,0.0
0.9,563.5,318.5,122.5,7.0,5,0.25,1,32.0,37.58,3.84,32.0,3.84,-1.16,-43.45,0.0
0.86,588.0,294.0,147.0,7.0,2,0.25,1,29.54,33.98,3.5448,29.54,3.54,-0.87,-32.42,0.0
0.86,588.0,294.0,147.0,7.0,3,0.25,1,30.05,28.61,3.606,30.05,3.61,-0.93,-34.71,0.0
0.86,588.0,294.0,147.0,7.0,4,0.25,1,29.6,30.12,3.552,29.6,3.55,-0.88,-32.69,0.0
0.86,588.0,294.0,147.0,7.0,5,0.25,1,28.66,34.73,3.4392,28.66,3.44,-0.76,-28.48,0.0
0.82,612.5,318.5,147.0,7.0,2,0.25,1,26.84,30.17,3.2207999999999997,26.84,3.22,-0.54,-20.32,0.0
0.82,612.5,318.5,147.0,7.0,3,0.25,1,27.27,27.84,3.2723999999999998,27.27,3.27,-0.6,-22.25,0.0
0.82,612.5,318.5,147.0,7.0,4,0.25,1,26.97,27.25,3.2363999999999997,26.97,3.24,-0.56,-20.9,0.0
0.82,612.5,318.5,147.0,7.0,5,0.25,1,26.19,31.39,3.1428,26.19,3.14,-0.47,-17.41,0.0
0.79,637.0,343.0,147.0,7.0,2,0.25,1,38.67,43.8,4.6404,38.67,4.64,-1.96,-73.35,0.0
0.79,637.0,343.0,147.0,7.0,3,0.25,1,40.03,37.81,4.8036,40.03,4.8,-2.13,-79.45,0.0
0.79,637.0,343.0,147.0,7.0,4,0.25,1,39.86,36.85,4.7832,39.86,4.78,-2.11,-78.69,0.0
0.79,637.0,343.0,147.0,7.0,5,0.25,1,39.04,45.52,4.6848,39.04,4.68,-2.01,-75.01,0.0
0.76,661.5,416.5,122.5,7.0,2,0.25,1,36.96,36.85,4.4352,36.96,4.44,-1.76,-65.69,0.0
0.76,661.5,416.5,122.5,7.0,3,0.25,1,36.13,37.58,4.3356,36.13,4.34,-1.66,-61.97,0.0
0.76,661.5,416.5,122.5,7.0,4,0.25,1,36.91,37.45,4.4292,36.91,4.43,-1.75,-65.46,0.0
0.76,661.5,416.5,122.5,7.0,5,0.25,1,36.43,36.62,4.3716,36.43,4.37,-1.69,-63.31,0.0
0.74,686.0,245.0,220.5,3.5,2,0.25,1,12.43,15.19,1.4915999999999998,12.43,1.49,1.19,44.28,0.0
0.74,686.0,245.0,220.5,3.5,3,0.25,1,12.5,15.5,1.5,12.5,1.5,1.18,43.96,0.0
0.74,686.0,245.0,220.5,3.5,4,0.25,1,12.41,15.28,1.4891999999999999,12.41,1.49,1.19,44.37,0.0
0.74,686.0,245.0,220.5,3.5,5,0.25,1,12.45,15.5,1.4939999999999998,12.45,1.49,1.18,44.19,0.0
0.71,710.5,269.5,220.5,3.5,2,0.25,1,12.57,15.42,1.5084,12.57,1.51,1.17,43.65,0.0
0.71,710.5,269.5,220.5,3.5,3,0.25,1,12.65,15.85,1.518,12.65,1.52,1.16,43.29,0.0
0.71,710.5,269.5,220.5,3.5,4,0.25,1,12.57,15.44,1.5084,12.57,1.51,1.17,43.65,0.0
0.71,710.5,269.5,220.5,3.5,5,0.25,1,12.63,15.81,1.5156,12.63,1.52,1.16,43.38,0.0
0.69,735.0,294.0,220.5,3.5,2,0.25,1,12.78,15.21,1.5335999999999999,12.78,1.53,1.14,42.71,0.0
0.69,735.0,294.0,220.5,3.5,3,0.25,1,12.93,15.63,1.5515999999999999,12.93,1.55,1.13,42.04,0.0
0.69,735.0,294.0,220.5,3.5,4,0.25,1,12.73,15.48,1.5276,12.73,1.53,1.15,42.93,0.0
0.69,735.0,294.0,220.5,3.5,5,0.25,1,12.72,15.78,1.5264,12.72,1.53,1.15,42.98,0.0
0.66,759.5,318.5,220.5,3.5,2,0.25,1,13.17,16.39,1.5804,13.17,1.58,1.1,40.96,0.0
0.66,759.5,318.5,220.5,3.5,3,0.25,1,13.18,16.27,1.5816,13.18,1.58,1.1,40.92,0.0
0.66,759.5,318.5,220.5,3.5,4,0.25,1,13.17,16.39,1.5804,13.17,1.58,1.1,40.96,0.0
0.66,759.5,318.5,220.5,3.5,5,0.25,1,13.18,16.19,1.5816,13.18,1.58,1.1,40.92,0.0
0.64,784.0,343.0,220.5,3.5,2,0.25,1,17.5,21.13,2.1,17.5,2.1,0.58,21.55,0.0
0.64,784.0,343.0,220.5,3.5,3,0.25,1,17.35,21.19,2.0820000000000003,17.35,2.08,0.59,22.22,0.0
0.64,784.0,343.0,220.5,3.5,4,0.25,1,17.52,21.09,2.1024,17.52,2.1,0.57,21.46,0.0
0.64,784.0,343.0,220.5,3.5,5,0.25,1,17.37,21.08,2.0844,17.37,2.08,0.59,22.13,0.0
0.62,808.5,367.5,220.5,3.5,2,0.25,1,15.09,15.77,1.8108,15.09,1.81,0.87,32.35,0.0
0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.12,15.95,1.8143999999999998,15.12,1.81,0.86,32.22,0.0
0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.08,15.77,1.8095999999999999,15.08,1.81,0.87,32.4,0.0
0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.16,15.76,1.8192,15.16,1.82,0.86,32.04,0.0
0.98,514.5,294.0,110.25,7.0,2,0.25,2,28.67,29.62,3.4404,28.67,3.44,-0.76,-28.52,0.0
0.98,514.5,294.0,110.25,7.0,3,0.25,2,28.57,29.69,3.4284,28.57,3.43,-0.75,-28.08,0.0
0.98,514.5,294.0,110.25,7.0,4,0.25,2,28.18,30.18,3.3815999999999997,28.18,3.38,-0.7,-26.33,0.0
0.98,514.5,294.0,110.25,7.0,5,0.25,2,28.6,30.02,3.432,28.6,3.43,-0.76,-28.21,0.0
0.9,563.5,318.5,122.5,7.0,2,0.25,2,32.46,35.56,3.8952,32.46,3.9,-1.22,-45.51,0.0
0.9,563.5,318.5,122.5,7.0,3,0.25,2,33.27,32.64,3.9924000000000004,33.27,3.99,-1.32,-49.14,0.0
0.9,563.5,318.5,122.5,7.0,4,0.25,2,32.33,32.77,3.8795999999999995,32.33,3.88,-1.2,-44.93,0.0
0.9,563.5,318.5,122.5,7.0,5,0.25,2,31.66,37.72,3.7992,31.66,3.8,-1.12,-41.93,0.0
0.86,588.0,294.0,147.0,7.0,2,0.25,2,29.34,33.37,3.5208,29.34,3.52,-0.84,-31.53,0.0
0.86,588.0,294.0,147.0,7.0,3,0.25,2,29.87,27.89,3.5844,29.87,3.58,-0.91,-33.9,0.0
0.86,588.0,294.0,147.0,7.0,4,0.25,2,29.27,29.9,3.5124,29.27,3.51,-0.84,-31.21,0.0
0.86,588.0,294.0,147.0,7.0,5,0.25,2,28.4,34.52,3.408,28.4,3.41,-0.73,-27.31,0.0
0.82,612.5,318.5,147.0,7.0,2,0.25,2,25.74,28.27,3.0887999999999995,25.74,3.09,-0.41,-15.39,0.0
0.82,612.5,318.5,147.0,7.0,3,0.25,2,25.98,26.96,3.1176,25.98,3.12,-0.44,-16.46,0.0
0.82,612.5,318.5,147.0,7.0,4,0.25,2,25.38,26.72,3.0456,25.38,3.05,-0.37,-13.77,0.0
0.82,612.5,318.5,147.0,7.0,5,0.25,2,24.94,29.88,2.9928,24.94,2.99,-0.32,-11.8,0.0
0.79,637.0,343.0,147.0,7.0,2,0.25,2,38.57,43.86,4.6284,38.57,4.63,-1.95,-72.9,0.0
0.79,637.0,343.0,147.0,7.0,3,0.25,2,40.19,37.41,4.8228,40.19,4.82,-2.15,-80.17,0.0
0.79,637.0,343.0,147.0,7.0,4,0.25,2,39.97,36.77,4.796399999999999,39.97,4.8,-2.12,-79.18,0.0
0.79,637.0,343.0,147.0,7.0,5,0.25,2,38.98,45.97,4.677599999999999,38.98,4.68,-2.0,-74.74,0.0
0.76,661.5,416.5,122.5,7.0,2,0.25,2,36.95,36.87,4.434,36.95,4.43,-1.76,-65.64,0.0
0.76,661.5,416.5,122.5,7.0,3,0.25,2,36.28,37.35,4.3536,36.28,4.35,-1.68,-62.64,0.0
0.76,661.5,416.5,122.5,7.0,4,0.25,2,36.86,37.28,4.4232,36.86,4.42,-1.75,-65.24,0.0
0.76,661.5,416.5,122.5,7.0,5,0.25,2,36.45,36.81,4.3740000000000006,36.45,4.37,-1.7,-63.4,0.0
0.74,686.0,245.0,220.5,3.5,2,0.25,2,12.35,14.73,1.482,12.35,1.48,1.19,44.64,0.0
0.74,686.0,245.0,220.5,3.5,3,0.25,2,12.45,15.1,1.4939999999999998,12.45,1.49,1.18,44.19,0.0
0.74,686.0,245.0,220.5,3.5,4,0.25,2,12.16,15.18,1.4592,12.16,1.46,1.22,45.49,0.0
0.74,686.0,245.0,220.5,3.5,5,0.25,2,12.3,15.44,1.476,12.3,1.48,1.2,44.86,0.0
0.71,710.5,269.5,220.5,3.5,2,0.25,2,12.33,14.91,1.4796,12.33,1.48,1.2,44.73,0.0
0.71,710.5,269.5,220.5,3.5,3,0.25,2,12.29,15.4,1.4747999999999999,12.29,1.47,1.2,44.91,0.0
0.71,710.5,269.5,220.5,3.5,4,0.25,2,12.2,14.94,1.464,12.2,1.46,1.21,45.31,0.0
0.71,710.5,269.5,220.5,3.5,5,0.25,2,12.49,15.32,1.4988,12.49,1.5,1.18,44.01,0.0
0.69,735.0,294.0,220.5,3.5,2,0.25,2,12.85,15.52,1.5419999999999998,12.85,1.54,1.13,42.4,0.0
0.69,735.0,294.0,220.5,3.5,3,0.25,2,12.87,15.85,1.5443999999999998,12.87,1.54,1.13,42.31,0.0
0.69,735.0,294.0,220.5,3.5,4,0.25,2,12.73,15.66,1.5276,12.73,1.53,1.15,42.93,0.0
0.69,735.0,294.0,220.5,3.5,5,0.25,2,12.95,15.99,1.5539999999999998,12.95,1.55,1.12,41.95,0.0
0.66,759.5,318.5,220.5,3.5,2,0.25,2,13.05,15.89,1.566,13.05,1.57,1.11,41.5,0.0
0.66,759.5,318.5,220.5,3.5,3,0.25,2,12.93,15.85,1.5515999999999999,12.93,1.55,1.13,42.04,0.0
0.66,759.5,318.5,220.5,3.5,4,0.25,2,12.77,16.22,1.5324,12.77,1.53,1.14,42.75,0.0
0.66,759.5,318.5,220.5,3.5,5,0.25,2,13.0,15.87,1.56,13.0,1.56,1.12,41.72,0.0
0.64,784.0,343.0,220.5,3.5,2,0.25,2,17.14,20.47,2.0568,17.14,2.06,0.62,23.16,0.0
0.64,784.0,343.0,220.5,3.5,3,0.25,2,16.84,20.56,2.0208,16.84,2.02,0.66,24.51,0.0
0.64,784.0,343.0,220.5,3.5,4,0.25,2,17.02,20.48,2.0423999999999998,17.02,2.04,0.63,23.7,0.0
0.64,784.0,343.0,220.5,3.5,5,0.25,2,17.11,20.43,2.0532,17.11,2.05,0.62,23.3,0.0
0.62,808.5,367.5,220.5,3.5,2,0.25,2,14.34,15.32,1.7207999999999999,14.34,1.72,0.96,35.72,0.0
0.62,808.5,367.5,220.5,3.5,3,0.25,2,14.66,15.64,1.7591999999999999,14.66,1.76,0.92,34.28,0.0
0.62,808.5,367.5,220.5,3.5,4,0.25,2,14.6,15.14,1.752,14.6,1.75,0.92,34.55,0.0
0.62,808.5,367.5,220.5,3.5,5,0.25,2,14.6,15.3,1.752,14.6,1.75,0.92,34.55,0.0
0.98,514.5,294.0,110.25,7.0,2,0.25,3,28.67,29.43,3.4404,28.67,3.44,-0.76,-28.52,0.0
0.98,514.5,294.0,110.25,7.0,3,0.25,3,28.56,29.78,3.4271999999999996,28.56,3.43,-0.75,-28.03,0.0
0.98,514.5,294.0,110.25,7.0,4,0.25,3,28.17,30.1,3.3804000000000003,28.17,3.38,-0.7,-26.28,0.0
0.98,514.5,294.0,110.25,7.0,5,0.25,3,28.63,30.19,3.4355999999999995,28.63,3.44,-0.76,-28.34,0.0
0.9,563.5,318.5,122.5,7.0,2,0.25,3,31.63,36.35,3.7956,31.63,3.8,-1.12,-41.79,0.0
0.9,563.5,318.5,122.5,7.0,3,0.25,3,32.4,35.1,3.888,32.4,3.89,-1.21,-45.24,0.0
0.9,563.5,318.5,122.5,7.0,4,0.25,3,32.68,32.83,3.9215999999999998,32.68,3.92,-1.24,-46.5,0.0
0.9,563.5,318.5,122.5,7.0,5,0.25,3,32.29,32.46,3.8747999999999996,32.29,3.87,-1.2,-44.75,0.0
0.86,588.0,294.0,147.0,7.0,2,0.25,3,28.4,33.52,3.408,28.4,3.41,-0.73,-27.31,0.0
0.86,588.0,294.0,147.0,7.0,3,0.25,3,29.4,32.93,3.5279999999999996,29.4,3.53,-0.85,-31.8,0.0
0.86,588.0,294.0,147.0,7.0,4,0.25,3,29.43,28.38,3.5315999999999996,29.43,3.53,-0.85,-31.93,0.0
0.86,588.0,294.0,147.0,7.0,5,0.25,3,29.07,29.82,3.4884,29.07,3.49,-0.81,-30.32,0.0
0.82,612.5,318.5,147.0,7.0,2,0.25,3,24.7,28.77,2.964,24.7,2.96,-0.29,-10.73,0.0
0.82,612.5,318.5,147.0,7.0,3,0.25,3,25.48,27.76,3.0576,25.48,3.06,-0.38,-14.22,0.0
0.82,612.5,318.5,147.0,7.0,4,0.25,3,25.37,26.95,3.0444,25.37,3.04,-0.37,-13.73,0.0
0.82,612.5,318.5,147.0,7.0,5,0.25,3,25.17,26.41,3.0204,25.17,3.02,-0.34,-12.83,0.0
0.79,637.0,343.0,147.0,7.0,2,0.25,3,39.04,45.13,4.6848,39.04,4.68,-2.01,-75.01,0.0
0.79,637.0,343.0,147.0,7.0,3,0.25,3,38.35,43.66,4.602,38.35,4.6,-1.93,-71.92,0.0
0.79,637.0,343.0,147.0,7.0,4,0.25,3,39.81,37.76,4.7772,39.81,4.78,-2.1,-78.46,0.0
0.79,637.0,343.0,147.0,7.0,5,0.25,3,39.83,36.87,4.779599999999999,39.83,4.78,-2.1,-78.55,0.0
0.76,661.5,416.5,122.5,7.0,2,0.25,3,35.99,36.07,4.3188,35.99,4.32,-1.64,-61.34,0.0
0.76,661.5,416.5,122.5,7.0,3,0.25,3,36.59,36.44,4.3908000000000005,36.59,4.39,-1.71,-64.03,0.0
0.76,661.5,416.5,122.5,7.0,4,0.25,3,35.64,37.28,4.2768,35.64,4.28,-1.6,-59.77,0.0
0.76,661.5,416.5,122.5,7.0,5,0.25,3,36.52,37.29,4.3824000000000005,36.52,4.38,-1.71,-63.71,0.0
0.74,686.0,245.0,220.5,3.5,2,0.25,3,11.8,14.49,1.416,11.8,1.42,1.26,47.1,0.0
0.74,686.0,245.0,220.5,3.5,3,0.25,3,12.03,13.79,1.4435999999999998,12.03,1.44,1.23,46.07,0.0
0.74,686.0,245.0,220.5,3.5,4,0.25,3,11.98,14.72,1.4376,11.98,1.44,1.24,46.3,0.0
0.74,686.0,245.0,220.5,3.5,5,0.25,3,11.69,14.76,1.4027999999999998,11.69,1.4,1.27,47.6,0.0
0.71,710.5,269.5,220.5,3.5,2,0.25,3,12.41,14.92,1.4891999999999999,12.41,1.49,1.19,44.37,0.0
0.71,710.5,269.5,220.5,3.5,3,0.25,3,12.28,14.74,1.4735999999999998,12.28,1.47,1.2,44.95,0.0
0.71,710.5,269.5,220.5,3.5,4,0.25,3,12.1,15.57,1.452,12.1,1.45,1.22,45.76,0.0
0.71,710.5,269.5,220.5,3.5,5,0.25,3,12.19,14.94,1.4627999999999999,12.19,1.46,1.21,45.35,0.0
0.69,735.0,294.0,220.5,3.5,2,0.25,3,12.34,14.92,1.4808,12.34,1.48,1.2,44.68,0.0
0.69,735.0,294.0,220.5,3.5,3,0.25,3,12.46,14.38,1.4952,12.46,1.5,1.18,44.14,0.0
0.69,735.0,294.0,220.5,3.5,4,0.25,3,12.31,15.44,1.4772,12.31,1.48,1.2,44.82,0.0
0.69,735.0,294.0,220.5,3.5,5,0.25,3,12.12,15.17,1.4544,12.12,1.45,1.22,45.67,0.0
0.66,759.5,318.5,220.5,3.5,2,0.25,3,12.97,15.53,1.5564,12.97,1.56,1.12,41.86,0.0
0.66,759.5,318.5,220.5,3.5,3,0.25,3,13.01,15.8,1.5612,13.01,1.56,1.12,41.68,0.0
0.66,759.5,318.5,220.5,3.5,4,0.25,3,12.74,16.14,1.5288,12.74,1.53,1.15,42.89,0.0
0.66,759.5,318.5,220.5,3.5,5,0.25,3,12.84,16.26,1.5408,12.84,1.54,1.14,42.44,0.0
0.64,784.0,343.0,220.5,3.5,2,0.25,3,16.83,19.87,2.0195999999999996,16.83,2.02,0.66,24.55,0.0
0.64,784.0,343.0,220.5,3.5,3,0.25,3,16.93,20.03,2.0316,16.93,2.03,0.65,24.11,0.0
0.64,784.0,343.0,220.5,3.5,4,0.25,3,16.66,20.46,1.9991999999999999,16.66,2.0,0.68,25.32,0.0
0.64,784.0,343.0,220.5,3.5,5,0.25,3,16.86,20.28,2.0231999999999997,16.86,2.02,0.65,24.42,0.0
0.62,808.5,367.5,220.5,3.5,2,0.25,3,13.91,14.89,1.6692,13.91,1.67,1.01,37.64,0.0
0.62,808.5,367.5,220.5,3.5,3,0.25,3,14.34,14.96,1.7207999999999999,14.34,1.72,0.96,35.72,0.0
0.62,808.5,367.5,220.5,3.5,4,0.25,3,13.95,14.89,1.674,13.95,1.67,1.0,37.46,0.0
0.62,808.5,367.5,220.5,3.5,5,0.25,3,13.99,14.35,1.6788,13.99,1.68,1.0,37.28,0.0
0.98,514.5,294.0,110.25,7.0,2,0.25,4,28.7,29.61,3.444,28.7,3.44,-0.77,-28.66,0.0
0.98,514.5,294.0,110.25,7.0,3,0.25,4,28.55,29.59,3.426,28.55,3.43,-0.75,-27.99,0.0
0.98,514.5,294.0,110.25,7.0,4,0.25,4,28.15,30.19,3.3779999999999997,28.15,3.38,-0.7,-26.19,0.0
0.98,514.5,294.0,110.25,7.0,5,0.25,4,28.62,30.12,3.4344,28.62,3.43,-0.76,-28.3,0.0
0.9,563.5,318.5,122.5,7.0,2,0.25,4,32.67,32.12,3.9204,32.67,3.92,-1.24,-46.45,0.0
0.9,563.5,318.5,122.5,7.0,3,0.25,4,31.69,37.12,3.8028,31.69,3.8,-1.13,-42.06,0.0
0.9,563.5,318.5,122.5,7.0,4,0.25,4,32.07,36.16,3.8484,32.07,3.85,-1.17,-43.77,0.0
